Year,"Inflation, consumer prices (annual %)",Urban population (% of total population),"Mortality rate, infant (per 1,000 live births)",Population growth (annual %),GDP per capita (current US$),"Life expectancy at birth, total (years)",Births,Birth Rate
2000,1.53474023697699,61.977,8.7,2.54459366705921,4087.56259349384,72.775,537853,22.9
2001,1.41678473206098,62.922,8.1,2.57014353027485,3941.12266621369,73.344,505479,21.0
2002,1.80787246281536,63.856,7.6,2.51634742159783,4177.10494176499,73.563,494538,20.2
2003,1.08967632577286,64.78,7.3,2.44260643657749,4454.52676383656,73.796,481399,19.2
2004,1.42127115937402,65.694,7.1,2.3720084635771,4924.33811126582,73.898,481800,18.9
2005,2.97507092684449,66.594,7.0,2.30336382151543,5536.83748306949,74.096,474473,18.2
2006,3.60923564224389,67.483,7.0,2.23485955352487,6137.15053996313,74.164,472698,17.8
2007,2.02735317779569,68.36,7.0,2.17608980403121,7144.00023998183,74.211,479647,17.7
2008,5.44078221100769,69.225,7.0,2.08818532017883,8343.3033817446,74.25,493203,17.9
2009,0.583308405623702,70.075,7.0,1.97892341382596,7167.87719423373,74.227,501644,17.9
2010,1.62285235577035,70.912,6.9,1.75828740323151,8880.14580454109,74.442,491239,17.2
2011,3.1744709215131,71.609,6.9,1.61104342924472,10209.3719445027,74.746,511594,17.6
2012,1.66357102479206,72.275,6.9,1.61813131846729,10601.5104558966,74.944,526012,17.8
2013,2.10501231233612,72.93,6.9,1.58743980435977,10727.6690215542,75.035,503914,16.7
2014,3.14299050879095,73.577,6.9,1.55301827143161,11045.5801207599,75.146,528612,17.2
2015,2.10438980238359,74.213,7.0,1.49940972361564,9699.60046342736,75.094,521136,16.7
2016,2.09056659525742,74.84,7.0,1.4620698661924,9555.66959336559,75.289,508203,16.1
2017,3.87120115774237,75.447,7.0,1.41536933264598,9979.70447282371,75.476,508685,15.9
2018,0.884709160571235,76.036,6.9,1.31563682048248,11073.9789704691,75.644,501945,15.5
2019,0.662891865764326,76.607,6.9,1.24151463105699,11132.1027429418,75.76,489863,15.1
2020,-1.1387021539305,77.16,6.8,1.19985962233223,10164.344431073,75.938,471504,14.5
2021,2.47710241465447,77.696,6.8,1.11985399101,11134.6229528189,74.884,439744,13.5
2022,3.37869862549928,78.214,6.7,1.07936374148797,11993.1876132994,76.26,423124,12.9
